,Param Combo,TN,TN_canc,TP,TP_noc5_obs,FN,FN_canc,FP_c5_noobs,FP_noc5_noobs,Precision,Recall,Trigger-to-Launch
0,[1.e-06 1.e+47],4406,2157,338,9,21,654,235,1024,0.21606475716064757,0.2708333333333333,0.3635952003622368
1,[1.e-06 3.e+47],5629,1500,485,9,54,562,147,458,0.4494995450409463,0.3886217948717949,0.347674786459981
2,[1.e-06 5.e+47],6682,741,437,8,199,508,104,165,0.623249299719888,0.3501602564102564,0.36372898624554256
3,[1.e-06 7.e+47],7171,354,352,6,406,426,64,65,0.7351129363449692,0.28205128205128205,0.38437253354380424
4,[2.5e-06 1.0e+47],6134,1084,505,10,21,544,178,368,0.48539114043355325,0.4046474358974359,0.3945704722945333
5,[2.5e-06 3.0e+47],6529,896,513,8,55,558,122,163,0.6464019851116626,0.4110576923076923,0.3566371681415929
6,[2.5e-06 5.0e+47],7083,448,446,7,206,506,90,58,0.7537437603993344,0.3573717948717949,0.3864951768488746
7,[2.5e-06 7.0e+47],7365,199,353,6,413,422,60,26,0.8067415730337079,0.2828525641025641,0.4174484052532833
9,[5.e-06 3.e+47],7561,29,498,5,93,606,51,1,0.9063063063063063,0.39903846153846156,0.46638655462184875
10,[5.e-06 5.e+47],7569,21,428,5,255,527,38,1,0.9173728813559322,0.34294871794871795,0.4627450980392157
11,[5.e-06 7.e+47],7578,12,345,5,463,411,29,1,0.9210526315789473,0.2764423076923077,0.47322540473225405
12,[7.5e-06 1.0e+47],7583,9,386,4,535,317,10,0,0.975,0.3092948717948718,0.5509641873278237
13,[7.5e-06 3.0e+47],7583,9,370,4,550,318,10,0,0.9739583333333334,0.296474358974359,0.540084388185654
14,[7.5e-06 5.0e+47],7584,8,337,4,604,298,9,0,0.9742857142857143,0.27003205128205127,0.5335365853658537
15,[7.5e-06 7.0e+47],7584,8,295,4,685,260,8,0,0.9739413680781759,0.23637820512820512,0.5339130434782609
