,Param Combo,TN,TN_canc,TP,TP_noc5_obs,FN,FN_canc,FP_c5_noobs,FP_noc5_noobs,Precision,Recall,Trigger-to-Launch
3,[1.e-06 5.e-07],7517,63,451,7,461,261,75,9,0.8450184501845018,0.3613782051282051,0.625866050808314
4,[1.e-06 1.e-06],7556,20,265,6,802,162,19,14,0.8914473684210527,0.21233974358974358,0.6255144032921811
5,[1.e-06 5.e-06],7590,4,74,0,1146,27,1,2,0.961038961038961,0.05929487179487179,0.7129629629629629
9,[2.5e-06 5.0e-07],7523,60,450,7,462,261,75,6,0.8494423791821561,0.3605769230769231,0.6263096623981373
10,[2.5e-06 1.0e-06],7580,9,263,6,804,163,18,1,0.9340277777777778,0.2107371794871795,0.6260869565217392
11,[2.5e-06 5.0e-06],7596,0,73,0,1147,27,1,0,0.9864864864864865,0.058493589743589744,0.7326732673267327
15,[5.e-06 5.e-07],7572,15,429,7,474,303,42,2,0.9083333333333333,0.34375,0.6015037593984962
16,[5.e-06 1.e-06],7582,7,261,6,808,164,15,1,0.9434628975265018,0.2091346153846154,0.6233480176211453
17,[5.e-06 5.e-06],7572,11,75,0,1144,27,2,13,0.8333333333333334,0.06009615384615385,0.703125
18,[7.5e-06 1.0e-08],7582,9,421,5,520,295,12,0,0.9726027397260274,0.3373397435897436,0.5902964959568733
19,[7.5e-06 5.0e-08],7582,9,423,5,523,290,12,0,0.9727272727272728,0.3389423076923077,0.5953991880920162
20,[7.5e-06 1.0e-07],7582,9,421,5,531,284,12,0,0.9726027397260274,0.3373397435897436,0.5991792065663475
21,[7.5e-06 5.0e-07],7583,8,341,5,666,230,11,0,0.969187675070028,0.27323717948717946,0.6
22,[7.5e-06 1.0e-06],7583,8,246,5,830,162,10,0,0.9616858237547893,0.1971153846153846,0.605568445475638
23,[7.5e-06 5.0e-06],7596,0,73,0,1148,27,0,0,1.0,0.058493589743589744,0.73
