,Flare_Number,Flare_ID,Trigger_Time,Cancelled?,Max_FOXSI,Mean_FOXSI,Max_HiC,Mean_HiC,Max_FOXSI_and_HiC_C5,Max_FOXSI_C5,Mean_FOXSI_C5,Max_HiC_C5,Mean_HiC_C5,Flare_C5,Flare_Class,Flare_Max_Flux,Peak_Time,Start_to_Peak,Background_Flux,Flare_C5_10min
0,165,201703271103,543885060.0,True,1.856287894952402e-06,1.4242705219658092e-06,1.4336075082610478e-06,1.1909939985343954e-06,False,False,False,False,False,True,C5.0,5.0370404e-06,2017-03-27T11:12:00.000,9.0,1.5002821385223797e-07,False
2,175,201703271809,543910560.0,False,3.6924657251802273e-06,2.3182674340205267e-06,2.3417180727847153e-06,1.5977090015439899e-06,False,False,False,False,False,True,C7.9,7.992929e-06,2017-03-27T18:20:00.000,11.0,6.575513680218137e-07,False
3,187,201703280313,543943320.0,True,5.456691951621906e-07,4.5401449710880115e-07,4.3305018948558427e-07,4.223722669394192e-07,False,False,False,False,False,False,C4.7,4.7928793e-06,2017-03-28T03:23:00.000,10.0,4.0248244204121875e-07,False
4,189,201703280445,543948840.0,False,2.7194164431421086e-06,1.8421090999254375e-06,1.9111573692498496e-06,1.327121935901232e-06,False,False,False,False,False,False,C4.9,4.983745e-06,2017-03-28T04:56:00.000,11.0,2.5382095714121533e-07,False
5,234,201703311716,544253700.0,True,2.1646974346367642e-06,1.8427155055178446e-06,1.8925250060419785e-06,1.6311195167872938e-06,False,False,False,False,False,False,C2.7,2.72192e-06,2017-03-31T17:37:00.000,21.0,1.9392500405501778e-07,False
6,249,201704011921,544347660.0,False,5.83157952860347e-06,5.3644212130166125e-06,5.931676241743844e-06,5.66346761843306e-06,True,True,True,True,True,True,C5.8,5.8023916e-06,2017-04-01T19:56:00.000,35.0,5.572285886046302e-07,True
7,251,201704012131,544354860.0,False,6.647765985690057e-05,6.09834969509393e-05,6.0873069742228836e-05,5.964616502751596e-05,True,True,True,True,True,True,M6.8,6.87118e-05,2017-04-01T21:48:00.000,17.0,9.480689868723857e-07,True
8,252,201704012259,544359660.0,False,1.8664902654563775e-06,1.689896521384071e-06,1.7483438341514557e-06,1.5292962416424416e-06,False,False,False,False,False,True,C7.8,7.800008e-06,2017-04-01T23:03:00.000,4.0,1.0987513405780192e-06,False
9,257,201704020233,544373100.0,True,2.5123940758930985e-06,2.3481807147618383e-06,2.5123940758930985e-06,2.4702412702026777e-06,False,False,False,False,False,True,M1.2,1.2240209e-05,2017-04-02T02:46:00.000,13.0,6.917163091202383e-07,False
10,258,201704020251,544373100.0,True,2.5123940758930985e-06,2.3481807147618383e-06,2.5123940758930985e-06,2.4702412702026777e-06,False,False,False,False,False,False,C2.4,2.4316198e-06,2017-04-02T02:58:00.000,7.0,1.790348164831812e-06,False
11,261,201704020742,544391640.0,False,8.392012387048453e-05,7.722142618149519e-05,8.053233614191413e-05,6.925860361661762e-05,True,True,True,True,True,True,M8.3,8.383287e-05,2017-04-02T08:02:00.000,20.0,1.4673271380161168e-06,True
12,264,201704021250,544409760.0,False,3.033543544006534e-05,2.4820399630698375e-05,2.5404278858331963e-05,2.1394298528321087e-05,True,True,True,True,True,True,M3.6,3.6941372e-05,2017-04-02T13:00:00.000,10.0,9.497819064563373e-07,True
13,265,201704021455,544416420.0,False,5.373286057874793e-06,4.686591182689881e-06,5.72395401832182e-06,5.147223419044167e-06,True,True,False,True,True,True,C6.5,6.5182544e-06,2017-04-02T15:08:00.000,13.0,4.160148364462657e-06,True
14,266,201704021617,544422120.0,False,4.751459982799133e-06,4.269988949090475e-06,4.315425030654296e-06,3.965961241192417e-06,False,False,False,False,False,False,C4.8,4.805452e-06,2017-04-02T16:27:00.000,10.0,1.7734854509399156e-06,False
15,267,201704021814,544429200.0,False,2.4554161427658983e-05,1.544358929095324e-05,3.06022229779046e-05,2.2251313566812314e-05,True,True,True,True,True,True,M3.3,3.3523487e-05,2017-04-02T18:38:00.000,24.0,1.9914496078854427e-06,True
16,268,201704021845,544429800.0,False,3.362597999512218e-05,3.117238884442486e-05,3.2032487069955096e-05,2.917552956205327e-05,True,True,True,True,True,True,M3.2,3.239735e-05,2017-04-02T18:52:00.000,7.0,2.7225098165217787e-05,True
17,269,201704022026,544435860.0,True,6.065464276616694e-06,5.907051672693342e-06,5.9370090639276896e-06,5.786642304883571e-06,True,True,True,True,True,True,M8.8,8.884683e-05,2017-04-02T20:33:00.000,7.0,5.601001703325892e-06,True
18,270,201704022103,544439340.0,True,4.36458185504307e-06,4.1220755520043895e-06,4.134006758249598e-06,3.995334736828227e-06,False,False,False,False,False,True,C7.3,7.319894e-06,2017-04-02T21:10:00.000,7.0,4.366834673419362e-06,False
19,271,201704030050,544452960.0,False,1.974986844288651e-05,1.7842681700130925e-05,1.9187556972610764e-05,1.561682074679993e-05,True,True,True,True,True,True,,1.9677913e-05,2017-04-03T01:05:00.000,15.0,2.783206355161383e-06,True
