,Flare_Number,Flare_ID,Trigger_Time,Cancelled?,Max_FOXSI,Mean_FOXSI,Max_HiC,Mean_HiC,Max_FOXSI_and_HiC_C5,Max_FOXSI_C5,Mean_FOXSI_C5,Max_HiC_C5,Mean_HiC_C5,Flare_C5,Flare_Class,Flare_Max_Flux,Peak_Time,Start_to_Peak,Background_Flux,Flare_C5_10min
0,251,201704012131,544354920.0,False,6.28130801487714e-05,5.996950130793266e-05,6.0873069742228836e-05,5.9502159274416044e-05,True,True,True,True,True,True,M6.8,6.87118e-05,2017-04-01T21:48:00.000,17.0,9.480689868723857e-07,True
1,257,201704020233,544373100.0,True,2.5123940758930985e-06,2.3481807147618383e-06,2.5123940758930985e-06,2.4702412702026777e-06,False,False,False,False,False,True,M1.2,1.2240209e-05,2017-04-02T02:46:00.000,13.0,6.917163091202383e-07,False
2,258,201704020251,544373100.0,True,2.5123940758930985e-06,2.3481807147618383e-06,2.5123940758930985e-06,2.4702412702026777e-06,False,False,False,False,False,False,C2.4,2.4316198e-06,2017-04-02T02:58:00.000,7.0,1.790348164831812e-06,False
3,261,201704020742,544391700.0,False,8.382352098124102e-05,7.361267489613965e-05,7.659530092496425e-05,6.47574634058401e-05,True,True,True,True,True,True,M8.3,8.383287e-05,2017-04-02T08:02:00.000,20.0,1.4673271380161168e-06,True
4,264,201704021250,544409760.0,False,3.033543544006534e-05,2.4820399630698375e-05,2.5404278858331963e-05,2.1394298528321087e-05,True,True,True,True,True,True,M3.6,3.6941372e-05,2017-04-02T13:00:00.000,10.0,9.497819064563373e-07,True
5,269,201704022026,544437000.0,False,4.330917363404296e-05,2.5763583835214376e-05,2.6342375349486247e-05,1.6465693988720886e-05,True,True,True,True,True,True,M8.8,8.884683e-05,2017-04-02T20:33:00.000,7.0,5.601001703325892e-06,True
6,287,201704031417,544501380.0,False,7.655753142898902e-05,5.336824688129127e-05,5.615554618998431e-05,3.82042744604405e-05,True,True,True,True,True,True,,9.061434e-05,2017-04-03T14:28:00.000,11.0,5.51786024516332e-06,True
7,289,201704032005,544522320.0,True,4.257153705111705e-06,3.6418512081581866e-06,4.28960811404977e-06,3.699686885738629e-06,False,False,False,False,False,True,,7.823985e-06,2017-04-03T20:13:00.000,8.0,1.5227964240693836e-06,False
8,314,201704042329,544621200.0,True,1.963649765457376e-06,1.3977329444969655e-06,1.3606202173832571e-06,1.1551184115887736e-06,False,False,False,False,False,True,C7.6,7.6273077e-06,2017-04-04T23:42:00.000,13.0,6.815872666265932e-07,False
10,534,201706010137,549553260.0,False,7.640626790816896e-06,5.9768462961073965e-06,6.359407507261494e-06,4.708204414782813e-06,True,True,True,True,False,True,M1.0,1.0207464e-05,2017-06-01T01:43:00.000,6.0,9.444300417271734e-07,True
11,567,201706021751,549698100.0,False,5.2572108870663214e-06,4.167033239355078e-06,4.416915544425137e-06,3.3419094052078435e-06,False,True,False,False,False,True,,1.24234975e-05,2017-06-02T17:57:00.000,6.0,1.9842894971588976e-07,False
13,700,201707031605,552370380.0,False,4.131315108679701e-06,3.767989028347074e-06,4.009551048511639e-06,3.7087138480274007e-06,False,False,False,False,False,True,M2.0,2.035344e-05,2017-07-03T16:15:00.000,10.0,9.326345775662048e-07,False
15,788,201707090309,552842160.0,False,1.6172969480976462e-05,1.4732272575201932e-05,1.5338693629018962e-05,1.3662110177392606e-05,True,True,True,True,True,False,,4.794067e-07,2017-07-09T03:10:00.000,1.0,4.957967689733778e-07,True
