,Param Combo,TN,TN_canc,TP,TP_noc5_obs,FN,FN_canc,FP_c5_noobs,FP_noc5_noobs,Precision,Recall,Trigger-to-Launch
0,[1.e-06 5.e-02],4009,1792,219,8,0,629,400,1787,0.0940347970173985,0.17548076923076922,0.49927611168562563
1,[1.e-06 1.e-01],4105,1687,356,15,0,537,355,1789,0.14751491053677931,0.28525641025641024,0.5307026798902722
2,[1.0e-06 2.5e-01],4784,1904,355,21,20,693,180,887,0.26056826056826055,0.2844551282051282,0.35717821782178216
3,[1.e-06 5.e-01],5735,1276,189,11,262,695,102,574,0.228310502283105,0.15144230769230768,0.3076923076923077
4,[1.e-06 1.e+00],6502,734,118,9,560,508,62,351,0.2351851851851852,0.09455128205128205,0.30303030303030304
5,[2.5e-06 5.0e-02],6050,871,498,18,0,434,316,657,0.3465413028878442,0.39903846153846156,0.5329277022190408
7,[2.5e-06 2.5e-01],6536,882,332,20,48,777,91,158,0.5856905158069884,0.266025641025641,0.265929203539823
8,[2.5e-06 5.0e-01],6928,556,131,8,343,728,46,104,0.4809688581314879,0.10496794871794872,0.18372536554354738
9,[2.5e-06 1.0e+00],7243,295,84,7,655,480,29,51,0.5321637426900585,0.0673076923076923,0.18076109936575052
12,[5.0e-06 2.5e-01],7574,16,269,5,245,716,18,1,0.9351535836177475,0.2155448717948718,0.28585365853658534
13,[5.e-06 5.e-01],7587,9,73,0,491,680,4,0,0.948051948051948,0.058493589743589744,0.10052219321148825
14,[5.e-06 1.e+00],7592,4,45,0,768,434,1,0,0.9782608695652174,0.036057692307692304,0.09504132231404959
15,[7.5e-06 5.0e-02],7581,10,395,5,519,322,12,0,0.970873786407767,0.31650641025641024,0.553763440860215
16,[7.5e-06 1.0e-01],7581,10,394,5,524,318,12,0,0.9708029197080292,0.3157051282051282,0.5561569688768606
17,[7.5e-06 2.5e-01],7587,6,198,3,659,386,5,0,0.9757281553398058,0.15865384615384615,0.34448160535117056
18,[7.5e-06 5.0e-01],7594,2,35,0,775,438,0,0,1.0,0.028044871794871796,0.07368421052631578
19,[7.5e-06 1.0e+00],7595,1,18,0,944,286,0,0,1.0,0.014423076923076924,0.05901639344262295
