,Param Combo,TN,TN_canc,TP,TP_noc5_obs,FN,FN_canc,FP_c5_noobs,FP_noc5_noobs,Precision,Recall,Trigger-to-Launch
1,[1.e-06 5.e-08],4018,1186,544,17,0,301,403,2375,0.16801437556154536,0.4358974358974359,0.6918773311230833
2,[1.e-06 1.e-07],4054,1114,611,20,0,255,382,2408,0.1844489915229465,0.4895833333333333,0.7141962421711899
3,[1.e-06 5.e-07],5232,1117,758,24,4,173,313,1223,0.3373597929249353,0.6073717948717948,0.6424611973392461
4,[1.e-06 1.e-06],6535,682,713,19,50,219,266,360,0.5390279823269514,0.5713141025641025,0.6011509517485613
6,[2.5e-06 1.0e-08],6047,785,651,23,0,260,337,741,0.384703196347032,0.5216346153846154,0.6263854129424383
7,[2.5e-06 5.0e-08],6049,778,664,22,0,245,339,747,0.3871331828442438,0.532051282051282,0.6339892665474061
8,[2.5e-06 1.0e-07],6057,764,678,24,0,234,336,751,0.3923979877026272,0.5432692307692307,0.6419088625762469
9,[2.5e-06 5.0e-07],6209,746,751,27,4,187,306,614,0.4581861012956419,0.6017628205128205,0.645381984036488
10,[2.5e-06 1.0e-06],6742,587,702,17,50,235,261,250,0.5845528455284553,0.5625,0.5994152046783626
12,[5.e-06 1.e-08],7550,35,618,8,0,540,90,3,0.8706536856745479,0.4951923076923077,0.5556414219474498
13,[5.e-06 5.e-08],7550,35,618,8,0,540,90,3,0.8706536856745479,0.4951923076923077,0.5556414219474498
14,[5.e-06 1.e-07],7550,35,618,8,0,539,91,3,0.8694444444444445,0.4951923076923077,0.5564142194744977
15,[5.e-06 5.e-07],7555,29,625,9,20,513,90,3,0.8720770288858322,0.500801282051282,0.5728920409771474
16,[5.e-06 1.e-06],7562,25,596,7,80,487,85,2,0.8739130434782608,0.4775641025641026,0.5740432612312812
