,Flare_Number,Flare_ID,Trigger_Time,Cancelled?,Max_FOXSI,Mean_FOXSI,Max_HiC,Mean_HiC,Max_FOXSI_and_HiC_C5,Max_FOXSI_C5,Mean_FOXSI_C5,Max_HiC_C5,Mean_HiC_C5,Flare_C5,Flare_C5_10min,Flare_Class,Flare_Max_Flux,Peak_Time,Start_to_Peak,Background_Flux
1,175,201703271809,543910680.0,True,2.3417180727847153e-06,1.5977090015439899e-06,1.6441678098999546e-06,1.1841090099551366e-06,False,False,False,False,False,True,False,C7.9,7.992929e-06,2017-03-27T18:20:00.000,11.0,6.575513680218137e-07
2,251,201704012131,544354920.0,False,6.28130801487714e-05,5.996950130793266e-05,6.0873069742228836e-05,5.9502159274416044e-05,True,True,True,True,True,True,True,M6.8,6.87118e-05,2017-04-01T21:48:00.000,17.0,9.480689868723857e-07
3,252,201704012259,544359720.0,True,1.8456490806784132e-06,1.6120969803523622e-06,1.6566965541642276e-06,1.4604105444959714e-06,False,False,False,False,False,True,False,C7.8,7.800008e-06,2017-04-01T23:03:00.000,4.0,1.0987513405780192e-06
4,257,201704020233,544373100.0,True,2.5123940758930985e-06,2.3481807147618383e-06,2.5123940758930985e-06,2.4702412702026777e-06,False,False,False,False,False,True,False,M1.2,1.2240209e-05,2017-04-02T02:46:00.000,13.0,6.917163091202383e-07
5,258,201704020251,544373100.0,True,2.5123940758930985e-06,2.3481807147618383e-06,2.5123940758930985e-06,2.4702412702026777e-06,False,False,False,False,False,False,False,C2.4,2.4316198e-06,2017-04-02T02:58:00.000,7.0,1.790348164831812e-06
6,261,201704020742,544391700.0,False,8.382352098124102e-05,7.361267489613965e-05,7.659530092496425e-05,6.47574634058401e-05,True,True,True,True,True,True,True,M8.3,8.383287e-05,2017-04-02T08:02:00.000,20.0,1.4673271380161168e-06
7,264,201704021250,544409760.0,False,3.033543544006534e-05,2.4820399630698375e-05,2.5404278858331963e-05,2.1394298528321087e-05,True,True,True,True,True,True,True,M3.6,3.6941372e-05,2017-04-02T13:00:00.000,10.0,9.497819064563373e-07
8,267,201704021814,544429800.0,False,3.362597999512218e-05,3.117238884442486e-05,3.2032487069955096e-05,2.917552956205327e-05,True,True,True,True,True,True,True,M3.3,3.3523487e-05,2017-04-02T18:38:00.000,24.0,1.9914496078854427e-06
9,268,201704021845,544430100.0,True,2.9906492272857577e-05,2.8222159016877413e-05,3.1722040148451924e-05,2.9365410227910616e-05,True,True,True,True,True,True,True,M3.2,3.239735e-05,2017-04-02T18:52:00.000,7.0,2.7225098165217787e-05
10,269,201704022026,544437000.0,False,4.330917363404296e-05,2.5763583835214376e-05,2.6342375349486247e-05,1.6465693988720886e-05,True,True,True,True,True,True,True,M8.8,8.884683e-05,2017-04-02T20:33:00.000,7.0,5.601001703325892e-06
11,271,201704030050,544453200.0,False,1.6262896679108962e-05,1.3114186003804207e-05,1.3398339433479123e-05,1.116424027713947e-05,True,True,True,True,True,True,True,,1.9677913e-05,2017-04-03T01:05:00.000,15.0,2.783206355161383e-06
12,276,201704030635,544472880.0,False,5.489792783919256e-06,4.730160071630962e-06,5.683662038791226e-06,5.2817990763287526e-06,True,True,False,True,True,True,True,,7.791969e-06,2017-04-03T06:52:00.000,17.0,3.871974058711203e-06
14,286,201704031317,544497720.0,True,5.9391563809185755e-06,5.236280685494421e-06,5.273377610137686e-06,4.857266503677238e-06,True,True,True,True,False,True,True,,1.147957e-05,2017-04-03T13:24:00.000,7.0,3.0725609576620627e-06
15,287,201704031417,544501380.0,False,7.655753142898902e-05,5.336824688129127e-05,5.615554618998431e-05,3.82042744604405e-05,True,True,True,True,True,True,True,,9.061434e-05,2017-04-03T14:28:00.000,11.0,5.51786024516332e-06
16,289,201704032005,544522380.0,True,4.28960811404977e-06,3.647260427896981e-06,4.28960811404977e-06,3.712023271873477e-06,False,False,False,False,False,True,False,,7.823985e-06,2017-04-03T20:13:00.000,8.0,1.5227964240693836e-06
17,314,201704042329,544621260.0,True,1.5759809457449592e-06,1.2472430626075948e-06,1.233186480931181e-06,1.0936863645838457e-06,False,False,False,False,False,True,False,C7.6,7.6273077e-06,2017-04-04T23:42:00.000,13.0,6.815872666265932e-07
19,332,201704061202,544752300.0,False,8.047770279517863e-06,6.2755866565566976e-06,6.504726115963422e-06,5.164942649571458e-06,True,True,True,True,True,True,True,C8.6,8.650007e-06,2017-04-06T12:10:00.000,8.0,3.1955863732946455e-07
