,Param Combo,TN,TN_canc,TP,TP_noc5_obs,FN,FN_canc,FP_c5_noobs,FP_noc5_noobs,Precision,Recall,Trigger-to-Launch
0,[1.e-06 5.e-02],4010,1811,194,6,0,625,429,1769,0.08340283569641367,0.15544871794871795,0.49606950765411667
1,[1.e-06 1.e-01],4053,1809,254,9,0,592,402,1725,0.1100418410041841,0.20352564102564102,0.49885201419327907
2,[1.0e-06 2.5e-01],4583,2083,306,16,14,688,240,914,0.2181571815718157,0.24519230769230768,0.3475394396044267
3,[1.e-06 5.e-01],5529,1424,188,12,205,709,146,631,0.2047082906857728,0.15064102564102563,0.31414790996784564
4,[1.e-06 1.e+00],6393,813,92,5,555,507,94,385,0.1684027777777778,0.07371794871794872,0.3037974683544304
5,[2.5e-06 5.0e-02],6052,871,483,14,0,433,332,659,0.334005376344086,0.3870192307692308,0.5329512893982808
7,[2.5e-06 2.5e-01],6364,1096,322,15,38,784,104,121,0.599644128113879,0.25801282051282054,0.23013923013923013
8,[2.5e-06 5.0e-01],6829,685,137,11,294,765,52,71,0.5461254612546126,0.10977564102564102,0.15746658919233003
9,[2.5e-06 1.0e+00],7186,362,70,4,650,498,30,44,0.5,0.05608974358974359,0.14682539682539683
12,[5.0e-06 2.5e-01],7566,24,277,5,143,806,22,1,0.9245901639344263,0.2219551282051282,0.2687224669603524
13,[5.e-06 5.e-01],7583,12,69,1,406,767,6,0,0.9210526315789473,0.055288461538461536,0.08888888888888889
14,[5.e-06 1.e+00],7588,7,39,1,759,449,1,0,0.975609756097561,0.03125,0.08249496981891348
15,[7.5e-06 5.0e-02],7579,12,399,5,522,315,12,0,0.9711538461538461,0.31971153846153844,0.5598923283983849
16,[7.5e-06 1.0e-01],7579,12,397,5,527,312,12,0,0.9710144927536232,0.31810897435897434,0.5609756097560976
17,[7.5e-06 2.5e-01],7581,12,216,3,591,435,6,0,0.9733333333333334,0.17307692307692307,0.33482142857142855
18,[7.5e-06 5.0e-01],7591,5,29,0,734,484,1,0,0.9666666666666667,0.023237179487179488,0.057803468208092484
19,[7.5e-06 1.0e+00],7593,3,21,0,936,291,0,0,1.0,0.016826923076923076,0.06666666666666667
