,Param Combo,TN,TN_canc,TP,TP_noc5_obs,FN,FN_canc,FP_c5_noobs,FP_noc5_noobs,Precision,Recall,Trigger-to-Launch
3,[1.e-06 5.e-07],7537,45,381,7,584,221,62,7,0.849015317286652,0.30528846153846156,0.632088520055325
4,[1.e-06 1.e-06],7557,19,231,6,863,139,15,14,0.8909774436090225,0.18509615384615385,0.6273584905660378
5,[1.e-06 5.e-06],7590,4,59,0,1166,23,0,2,0.9672131147540983,0.047275641025641024,0.6931818181818182
9,[2.5e-06 5.0e-07],7543,42,380,7,585,221,62,4,0.8543046357615894,0.30448717948717946,0.63268156424581
10,[2.5e-06 1.0e-06],7581,8,229,6,865,140,14,1,0.94,0.18349358974358973,0.628140703517588
11,[2.5e-06 5.0e-06],7596,0,58,0,1167,23,0,0,1.0,0.046474358974358976,0.7160493827160493
15,[5.e-06 5.e-07],7576,11,365,7,604,245,34,2,0.9117647058823529,0.29246794871794873,0.6144578313253012
16,[5.e-06 1.e-06],7582,7,228,6,866,141,13,1,0.9435483870967742,0.18269230769230768,0.6262626262626263
17,[5.e-06 5.e-06],7572,11,60,0,1164,23,1,13,0.8108108108108109,0.04807692307692308,0.6851851851851852
18,[7.5e-06 1.0e-08],7582,9,426,5,526,284,12,0,0.9729119638826185,0.34134615384615385,0.6019021739130435
19,[7.5e-06 5.0e-08],7582,9,426,5,534,276,12,0,0.9729119638826185,0.34134615384615385,0.6085164835164835
20,[7.5e-06 1.0e-07],7582,9,418,5,554,264,12,0,0.9724137931034482,0.3349358974358974,0.614406779661017
21,[7.5e-06 5.0e-07],7582,9,296,5,752,189,11,0,0.9647435897435898,0.23717948717948717,0.611764705882353
22,[7.5e-06 1.0e-06],7583,8,221,5,882,135,10,0,0.9576271186440678,0.17708333333333334,0.6226912928759895
23,[7.5e-06 5.0e-06],7596,0,57,0,1168,23,0,0,1.0,0.04567307692307692,0.7125
